customer_id,age,tenure_months,num_products,has_credit_card,is_active_member,estimated_monthly_salary_zmw,balance_zmw,credit_score,num_complaints_last_year,avg_monthly_transactions,digital_engagement_score,churned
CUST-00043,30,81,1,1,1,11248.42,29343.25,629,0,5,55.5,0
CUST-00044,57,11,4,1,1,6874.98,36277.48,722,0,6,49.8,0
CUST-00045,47,57,1,1,0,12886.26,1690.23,737,0,1,18.7,0
CUST-00046,49,22,1,0,0,10931.46,10589.22,661,1,17,62.9,1
CUST-00047,66,90,3,1,1,3206.52,18310.07,682,2,10,68.3,0
CUST-00048,30,71,2,1,1,8152.54,559.45,576,0,14,55.5,0
CUST-00049,71,42,1,0,1,16905.66,10594.48,558,0,15,48.7,0
CUST-00050,78,11,1,1,1,11226.91,26288.85,598,1,10,43.0,1
CUST-00051,59,107,4,1,1,13136.86,20934.97,437,0,9,46.7,0
CUST-00052,50,44,1,1,1,13690.95,7491.76,567,2,16,68.5,0
CUST-00053,32,76,1,1,1,10462.54,17691.88,717,0,18,44.2,0
CUST-00054,52,1,3,1,1,7575.99,13390.09,813,0,8,64.8,0
CUST-00055,35,52,4,0,1,8054.59,10109.89,537,1,0,36.6,0
CUST-00056,40,72,4,0,0,10767.62,15504.34,772,0,12,64.8,0
CUST-00057,37,1,1,1,1,10383.39,36191.72,657,0,8,64.2,1
CUST-00058,43,57,1,0,0,12383.51,4988.97,660,1,16,72.6,1
CUST-00059,55,87,3,1,0,14785.37,18563.85,554,1,21,94.9,0
CUST-00060,33,3,3,1,1,11428.59,22192.92,584,0,8,55.2,0
CUST-00061,28,44,1,1,1,15194.05,21094.12,578,0,13,100.0,0
CUST-00062,28,38,1,1,1,4509.95,21399.22,666,0,10,23.7,0
CUST-00063,28,29,1,1,1,17613.54,7956.02,776,2,15,10.9,1
CUST-00064,23,29,2,1,1,9541.02,14931.06,595,0,23,53.7,0
CUST-00065,29,21,2,0,1,10766.2,15901.65,652,1,10,78.9,1
CUST-00066,56,25,3,0,0,12983.1,20616.9,710,0,10,56.9,0
CUST-00067,33,46,1,1,1,14849.71,25171.55,670,0,13,98.7,0
CUST-00068,43,50,2,1,1,11105.13,26882.68,720,0,13,76.8,0
CUST-00069,25,7,2,1,1,10338.22,25285.83,568,0,16,42.5,0
CUST-00070,42,30,1,1,0,8896.71,7927.5,567,0,7,38.3,1
CUST-00071,19,51,1,1,1,16935.34,0.0,598,0,3,85.1,0
CUST-00072,32,84,2,1,0,8612.33,11351.48,626,0,14,56.0,0
CUST-00073,67,85,4,1,0,9784.44,3904.23,759,0,0,38.1,0
CUST-00074,33,47,4,1,1,3786.49,12542.75,717,1,4,40.2,0
CUST-00075,53,51,1,1,1,8891.31,25879.57,850,1,11,33.0,0
CUST-00076,45,5,2,1,0,15387.14,33379.93,713,0,20,24.9,1
CUST-00077,38,50,3,1,1,8539.19,13225.3,572,0,12,75.2,0
CUST-00078,32,1,1,1,1,10767.21,18710.19,596,0,8,59.6,1
CUST-00079,55,36,2,1,1,8900.77,33159.29,621,0,16,73.6,0
CUST-00080,38,8,3,1,1,9063.81,25361.79,538,0,22,54.9,1
CUST-00081,58,25,2,1,0,10575.77,26644.87,687,1,14,72.2,0
CUST-00082,31,52,2,1,1,4373.33,1799.96,700,1,5,31.8,1
CUST-00083,41,54,2,1,1,10699.12,3532.1,636,0,17,62.9,0
CUST-00084,46,86,1,1,1,19063.98,0.0,750,0,12,51.2,0
CUST-00085,44,55,1,1,0,7839.07,11867.28,594,1,5,30.0,0
CUST-00086,25,32,2,0,0,7334.91,16567.25,591,1,5,48.2,0
CUST-00087,32,67,2,1,0,1500.0,21146.69,696,0,3,51.0,0
CUST-00088,38,1,2,1,0,1500.0,36931.82,680,0,16,7.7,1
CUST-00089,30,99,1,0,1,6713.71,7807.36,768,0,12,84.7,0
CUST-00090,48,1,3,0,1,12340.47,27373.8,782,1,26,75.7,0
CUST-00091,47,68,1,1,1,4892.9,15766.78,755,0,27,52.0,1
CUST-00092,18,64,1,0,1,4775.7,19994.63,642,0,10,40.6,0
CUST-00093,18,30,2,0,1,9548.15,10659.8,602,0,13,78.5,0
CUST-00094,25,34,2,0,0,16583.46,0.0,574,0,16,76.8,0
CUST-00095,41,3,2,1,0,6575.7,8306.3,626,0,9,32.3,0
CUST-00096,64,51,1,1,1,3488.1,49437.97,625,1,11,26.6,1
CUST-00097,35,64,1,1,1,11119.63,8861.55,717,1,15,80.8,0
CUST-00098,43,31,3,1,0,6922.62,35226.94,747,0,4,67.9,0
CUST-00099,27,60,1,1,1,13966.15,22088.02,589,1,6,72.5,0
CUST-00100,27,68,1,1,1,13114.84,0.0,708,0,14,28.0,0
CUST-00101,18,24,1,1,0,7739.54,21922.4,638,0,18,51.6,0
CUST-00102,40,73,1,1,0,15913.96,4228.44,712,0,11,89.1,0
CUST-00103,51,61,2,1,0,18118.98,4665.23,589,0,11,61.0,0
CUST-00104,36,50,2,1,0,11499.46,27025.58,659,0,7,47.9,0
CUST-00105,57,71,2,1,0,1500.0,15446.2,808,0,16,62.1,1
CUST-00106,42,57,2,0,1,3461.54,5964.34,594,1,9,51.6,0
CUST-00107,40,26,2,1,0,11801.4,3575.36,574,0,6,78.2,0
CUST-00108,46,28,2,1,1,17524.03,27873.52,667,0,17,0.0,1
CUST-00109,46,54,1,1,0,8354.21,6317.94,627,0,8,79.4,0
CUST-00110,54,81,2,1,0,8347.54,10387.83,701,1,11,79.9,0
CUST-00111,30,53,3,1,0,14295.52,36701.59,684,0,0,52.8,1
CUST-00112,18,36,1,1,0,14966.05,16563.57,672,0,19,43.2,0
CUST-00113,41,49,1,1,0,12681.27,9525.38,502,1,14,84.1,0
CUST-00114,33,12,1,1,1,12193.02,12405.35,644,0,19,60.1,1
CUST-00115,40,82,1,1,1,9747.11,0.0,764,0,20,56.0,0
CUST-00116,60,90,1,0,1,2380.74,16636.94,732,0,10,37.4,0
CUST-00117,27,98,1,1,1,8393.06,9900.22,646,0,3,1.3,1
CUST-00118,49,74,1,1,1,14120.19,16926.7,834,1,8,25.3,0
CUST-00119,51,27,1,0,1,18116.09,0.0,603,1,14,27.2,0
CUST-00120,46,44,2,0,1,3657.56,18819.64,576,0,8,48.4,0
CUST-00121,53,35,1,0,0,4091.91,0.0,563,0,9,47.6,0
CUST-00122,34,60,2,1,1,13470.52,3287.38,598,0,14,21.4,1
CUST-00123,32,88,1,0,1,10110.6,28037.64,722,0,18,47.0,0
CUST-00124,52,1,1,0,0,5363.59,5450.97,757,0,13,67.0,0
CUST-00125,49,60,1,0,1,18319.66,24945.77,577,0,2,45.3,0
CUST-00126,57,55,1,1,0,5006.1,588.1,676,1,10,52.7,0
CUST-00127,43,56,2,0,1,11431.25,0.0,705,0,9,67.8,0
CUST-00128,59,67,1,1,0,12344.48,3259.05,565,0,13,67.4,0
CUST-00129,37,21,2,0,0,15603.62,9141.43,547,1,12,52.4,1
CUST-00130,27,75,1,1,0,6671.9,13352.56,634,0,5,16.1,0
CUST-00131,18,57,2,1,0,9193.11,8543.51,636,0,17,69.9,0
CUST-00132,27,41,1,0,1,10328.97,18113.85,713,0,0,48.2,0
CUST-00133,50,48,2,1,0,3112.06,14899.41,619,0,21,33.2,0
CUST-00134,22,34,1,1,1,8926.57,0.0,704,1,16,46.9,1
CUST-00135,35,50,2,1,1,8758.82,30213.17,543,1,23,55.0,0
CUST-00136,65,65,1,0,0,14932.36,32293.08,630,0,13,48.6,0
CUST-00137,50,9,2,1,0,12851.14,19730.59,686,0,21,43.4,1
CUST-00138,61,37,1,0,0,8293.13,3994.92,553,1,13,34.6,1
CUST-00139,28,33,2,0,1,7881.56,12982.76,482,0,16,25.5,0
CUST-00140,18,46,1,1,1,8700.65,6132.59,575,0,2,74.9,0
CUST-00141,58,39,1,0,0,3640.03,5827.7,661,0,2,69.3,1
CUST-00142,23,1,1,1,0,7102.68,25527.05,674,0,9,62.4,0
CUST-00143,41,61,1,1,0,14601.64,11277.71,641,0,11,58.1,0
CUST-00144,43,83,2,0,0,11691.44,16026.03,768,0,8,47.9,0
CUST-00145,29,26,2,1,0,12317.02,24245.56,769,1,17,58.7,1
CUST-00146,59,52,1,0,0,5396.41,11273.78,645,0,6,42.6,1
CUST-00147,59,27,2,1,1,12025.51,19168.04,648,0,19,40.4,1
CUST-00148,47,53,1,0,0,9587.14,28945.19,485,0,10,47.1,1
CUST-00149,40,41,3,1,1,8414.52,14744.45,637,2,3,82.6,0
CUST-00150,42,80,1,1,1,10757.93,26375.5,683,0,6,53.2,0
CUST-00151,27,31,2,0,0,9074.13,24270.96,728,0,15,36.5,0
CUST-00152,37,66,2,1,1,6597.86,39832.12,541,0,14,60.4,0
CUST-00153,39,26,1,1,1,18789.09,8084.56,791,1,18,20.2,1
CUST-00154,30,31,2,1,0,7937.81,14623.88,771,1,10,62.1,0
CUST-00155,50,51,2,1,1,11552.89,0.0,680,0,14,40.5,0
CUST-00156,23,1,3,0,1,1500.0,13469.0,649,0,3,44.6,0
CUST-00157,35,21,2,1,1,17658.53,26924.95,615,0,21,36.3,1
CUST-00158,18,72,2,0,1,8064.1,19706.75,735,1,4,26.9,0
CUST-00159,46,27,2,1,1,2504.29,20264.92,713,0,2,65.9,0
CUST-00160,49,7,1,0,0,5133.62,21995.21,647,0,12,50.3,0
CUST-00161,47,4,1,1,1,8281.27,21294.97,608,0,4,81.2,0
CUST-00162,75,50,1,1,0,10206.99,31675.41,624,0,17,27.7,1
CUST-00163,51,31,2,1,1,8716.31,3237.5,761,0,15,55.8,0
CUST-00164,29,49,3,1,0,7656.22,20578.68,720,0,16,50.7,1
CUST-00165,72,1,1,1,1,9034.17,20861.97,703,0,11,60.5,0
CUST-00166,29,23,2,1,0,17726.88,6256.04,614,0,9,45.6,1
CUST-00167,49,24,1,1,1,10680.15,22789.05,624,0,9,79.1,0
CUST-00168,49,69,2,1,1,5056.35,1870.61,686,0,9,40.7,0
CUST-00169,29,73,2,0,1,3720.18,0.0,627,0,11,14.4,0
CUST-00170,57,66,2,0,0,13141.8,0.0,628,0,7,72.8,0
CUST-00171,44,1,3,0,1,7866.48,8718.64,538,2,19,74.9,0
CUST-00172,47,72,1,1,1,9936.85,17898.52,529,0,11,56.1,0
CUST-00173,32,82,1,0,0,9477.09,24847.48,718,1,15,25.4,1
CUST-00174,56,23,3,1,0,10351.66,569.4,677,0,8,84.0,0
CUST-00175,30,55,1,1,1,12174.39,35201.38,787,1,11,24.3,0
CUST-00176,19,59,3,1,1,15625.05,0.0,587,0,10,58.6,0
CUST-00177,57,34,1,1,1,15202.1,49382.37,567,2,0,67.0,1
CUST-00178,35,50,2,1,0,12480.89,11991.43,609,0,5,59.6,1
CUST-00179,41,22,2,1,0,9720.17,0.0,635,1,0,69.8,0
CUST-00180,63,51,1,1,1,14603.25,26145.89,686,1,3,56.0,1
CUST-00181,54,43,2,1,0,10731.11,826.55,664,0,9,67.7,0
CUST-00182,48,54,1,1,1,11560.48,41963.55,515,0,22,58.7,0
CUST-00183,53,103,1,1,1,6495.99,10899.75,667,0,13,68.4,0
CUST-00184,31,15,2,0,0,10025.6,2854.42,714,0,2,6.4,1
CUST-00185,49,82,1,0,1,9085.85,0.0,657,1,12,33.7,0
CUST-00186,53,49,2,1,1,23460.72,21119.17,683,0,11,64.3,0
CUST-00187,49,47,2,1,1,6480.31,13715.71,702,1,9,77.8,1
CUST-00188,38,1,3,0,0,6437.24,0.0,628,0,9,58.1,0
CUST-00189,18,76,2,0,0,1500.0,19969.98,689,1,6,72.1,0
CUST-00190,47,12,1,1,1,11097.82,0.0,649,1,20,70.5,1
CUST-00191,41,19,3,1,1,8033.68,6984.51,651,0,14,47.0,0
CUST-00192,36,39,1,1,1,12330.96,11218.76,790,1,3,84.4,0
CUST-00193,49,37,3,1,1,9591.78,19824.84,664,0,20,69.8,1
CUST-00194,43,21,1,1,0,13287.2,20101.68,560,0,8,43.8,1
CUST-00195,42,90,2,0,0,1500.0,27609.84,581,1,7,41.9,0
CUST-00196,22,67,2,1,0,10740.95,22367.54,612,0,6,31.2,0
CUST-00197,22,119,2,1,0,14055.13,40905.73,663,0,16,53.1,0
CUST-00198,44,25,2,0,1,7507.97,9901.76,625,0,8,47.8,0
CUST-00199,41,23,1,1,1,11477.13,11909.76,728,0,6,61.5,1
CUST-00200,42,106,1,1,1,10572.51,20841.0,780,1,25,91.9,0
CUST-00201,42,9,2,1,0,12225.17,18801.36,787,1,7,22.2,1
CUST-00202,45,56,1,1,1,7146.27,28671.81,586,0,1,55.9,0
CUST-00203,40,38,1,0,1,9481.88,22122.54,667,0,20,33.8,0
CUST-00204,42,40,1,1,1,1500.0,19971.71,749,0,15,38.2,1
CUST-00205,43,5,3,0,1,5277.61,14503.03,713,0,10,55.0,0
CUST-00206,51,27,1,0,0,13771.06,7117.58,675,1,17,69.9,1
CUST-00207,34,107,1,1,1,5137.91,17622.4,471,0,18,87.5,0
CUST-00208,49,53,2,0,0,19152.34,34540.72,648,0,11,58.9,1
CUST-00209,48,93,3,1,1,10472.65,10176.86,822,0,13,58.8,0
CUST-00210,41,29,3,1,1,7516.33,28352.93,713,0,1,62.9,0
CUST-00211,34,52,2,1,1,14281.78,28128.78,664,0,17,44.5,0
CUST-00212,44,68,3,0,0,6528.78,0.0,607,0,16,67.3,0
CUST-00213,50,67,1,1,0,7526.24,13897.75,646,0,10,77.3,0
CUST-00214,27,42,1,1,1,11353.6,142.92,609,0,13,60.6,0
CUST-00215,41,50,2,1,1,5852.78,36280.35,802,0,3,51.0,0
CUST-00216,41,81,1,0,1,4704.11,31039.26,618,0,17,54.8,1
CUST-00217,32,58,2,1,1,10014.1,41106.79,492,0,6,64.7,0
CUST-00218,33,1,4,1,1,15017.29,25097.07,549,0,18,37.8,1
CUST-00219,21,30,2,0,0,7499.53,26522.0,484,1,8,41.5,0
CUST-00220,27,15,1,0,0,7204.52,26097.25,471,0,10,43.0,0
CUST-00221,22,1,2,1,1,7602.99,4319.91,585,2,17,42.8,1
CUST-00222,33,72,2,1,1,14553.42,11988.69,603,1,10,58.0,0
CUST-00223,33,80,2,1,1,11827.82,18578.3,622,1,16,65.5,0
CUST-00224,34,25,2,0,0,8737.98,9589.0,632,0,11,59.7,1
CUST-00225,44,39,1,1,1,14247.79,0.0,651,0,15,49.5,0
CUST-00226,38,108,1,1,1,13103.03,17448.02,737,0,9,49.5,0
CUST-00227,31,44,2,1,1,3846.66,25959.64,746,0,6,39.7,0
CUST-00228,31,46,1,1,1,10860.44,17404.52,680,0,6,79.8,1
CUST-00229,26,58,2,0,0,9627.06,44903.43,633,0,15,48.9,0
CUST-00230,38,87,3,1,0,2053.84,25042.39,757,0,5,31.1,0
CUST-00231,37,63,1,1,1,3126.71,25560.23,621,0,17,100.0,1
CUST-00232,59,80,2,1,1,20263.26,28550.3,798,0,1,51.7,0
CUST-00233,58,19,2,1,1,11294.6,35106.09,734,0,19,69.1,0
CUST-00234,58,74,2,1,1,12365.8,4903.65,698,0,13,48.0,0
CUST-00235,65,46,1,1,1,11152.47,20630.98,507,0,12,70.1,0
CUST-00236,25,24,1,0,0,12340.83,9260.49,598,1,2,67.6,0
CUST-00237,48,65,1,0,0,8946.54,0.0,577,0,8,60.0,1
CUST-00238,49,125,3,0,0,12127.86,16260.26,537,1,9,29.9,1
CUST-00239,46,55,1,1,1,8324.87,25615.55,605,0,15,60.8,0
CUST-00240,66,79,1,1,0,9255.46,40904.19,650,0,7,62.8,0
CUST-00241,70,41,1,1,1,10363.69,18563.29,656,0,5,64.4,0
CUST-00242,52,2,1,1,1,12818.96,18337.65,694,0,16,43.8,0
CUST-00243,48,65,1,1,0,5963.49,20567.05,638,1,13,67.9,0
CUST-00244,27,18,2,1,0,1500.0,17673.29,587,0,7,62.2,0
CUST-00245,27,42,2,1,1,10789.98,3431.14,680,0,2,50.3,0
CUST-00246,48,107,1,0,0,13107.8,25126.53,598,0,17,99.2,0
CUST-00247,39,1,1,1,1,7184.56,17472.07,659,1,2,67.7,0
CUST-00248,24,59,1,1,0,5192.16,17048.68,539,0,16,62.2,0
CUST-00249,39,64,2,1,1,10762.6,7332.07,746,0,15,32.0,0
CUST-00250,44,58,1,1,1,2612.39,38557.32,725,2,18,81.3,0
CUST-00251,51,31,1,0,1,11880.1,13889.13,597,0,17,53.1,1
CUST-00252,39,54,2,1,0,17477.71,18350.11,614,0,12,43.4,0
CUST-00253,37,20,2,0,1,5192.06,4061.75,708,2,10,69.5,0
CUST-00254,40,95,2,1,1,6886.87,175.83,715,0,10,35.3,0
CUST-00255,42,53,2,1,1,9920.84,11504.77,578,0,13,38.4,0
CUST-00256,26,88,2,0,1,7727.95,36669.19,646,0,9,48.7,0
CUST-00257,50,40,2,1,0,3798.53,0.0,784,0,10,78.9,0
CUST-00258,66,75,1,0,1,1500.0,14325.24,640,0,17,45.8,0
CUST-00259,50,69,1,1,1,8751.57,9731.18,597,0,27,66.7,1
CUST-00260,23,14,2,1,0,16112.53,3862.74,609,0,12,72.6,0
CUST-00261,41,96,1,1,0,15979.29,12825.98,701,0,13,10.8,1
CUST-00262,19,130,1,1,1,11945.29,19440.87,648,1,10,41.3,0
CUST-00263,18,81,1,0,1,1500.0,16269.46,556,0,12,46.3,0
CUST-00264,48,8,2,1,1,1500.0,24866.58,747,0,6,63.2,1
CUST-00265,41,24,1,1,1,11359.74,20793.8,668,0,9,42.0,0
CUST-00266,32,1,1,1,1,5635.79,30264.0,577,0,20,59.8,0
CUST-00267,18,24,2,0,1,7655.9,0.0,559,0,10,56.7,0
CUST-00268,25,102,1,0,1,10879.26,42971.83,552,1,12,46.9,0
CUST-00269,42,80,1,0,1,13989.98,22964.83,763,1,17,59.4,0
CUST-00270,40,20,2,1,1,6610.5,0.0,580,1,10,54.4,0
CUST-00271,48,11,2,1,0,12599.95,31666.94,737,0,4,55.8,1
CUST-00272,58,29,1,1,1,1810.83,27038.34,693,0,14,94.9,0
CUST-00273,36,81,1,0,0,10331.13,7554.21,639,0,8,82.8,0
CUST-00274,46,64,1,1,1,11138.86,10795.93,623,0,15,37.0,1
CUST-00275,38,94,2,1,0,9013.55,0.0,678,0,14,56.4,0
CUST-00276,34,29,1,1,0,11526.68,15160.22,651,0,8,60.7,1
CUST-00277,37,52,2,0,0,5632.05,20539.26,574,0,12,50.0,0
CUST-00278,52,27,1,0,1,10647.19,5192.01,577,1,6,36.7,1
CUST-00279,28,43,3,1,1,6196.75,8452.34,707,1,3,0.0,1
CUST-00280,54,39,1,0,1,4885.96,0.0,564,0,4,57.3,0
CUST-00281,58,40,2,0,1,2749.69,6366.98,733,1,7,44.9,0
CUST-00282,40,66,2,1,1,11688.8,0.0,601,0,15,51.3,0
CUST-00283,43,35,3,0,0,8621.06,23336.85,640,0,19,54.6,0
CUST-00284,23,45,1,1,1,8588.59,11352.74,692,0,9,52.4,0
CUST-00285,68,22,1,1,0,3314.99,11273.93,752,0,15,53.9,1
CUST-00286,52,85,3,1,0,10755.09,14120.01,720,0,7,44.6,0
CUST-00287,42,101,1,1,1,12747.3,9209.12,594,0,13,37.2,0
CUST-00288,41,108,1,1,1,11022.23,17584.7,722,2,15,69.4,0
CUST-00289,45,73,2,1,0,13997.72,14581.71,673,0,21,78.5,0
CUST-00290,32,48,1,1,1,8986.26,44.4,596,1,24,57.3,0
CUST-00291,43,21,1,0,1,6763.1,9535.39,778,1,7,42.6,1
CUST-00292,29,17,2,1,1,9140.23,30564.54,688,1,23,49.5,1
CUST-00293,46,47,2,1,0,14245.05,23317.32,746,2,9,48.4,1
CUST-00294,32,12,2,1,0,8780.37,6451.37,647,0,8,21.3,0
CUST-00295,51,72,3,0,1,1500.0,31364.65,619,0,13,57.2,0
CUST-00296,39,57,3,1,0,11406.37,0.0,557,0,10,23.6,1
CUST-00297,43,9,1,1,1,8985.81,9502.34,664,0,3,69.1,0
CUST-00298,76,43,2,1,1,9910.54,20043.28,522,0,15,65.8,1
CUST-00299,50,75,1,1,1,14726.45,25641.46,664,0,9,52.1,0
CUST-00300,43,84,2,0,0,8456.2,29814.87,571,0,7,59.9,0
CUST-00301,41,56,1,1,1,6609.43,7779.72,678,0,5,60.8,1
CUST-00302,28,68,3,1,1,4471.75,12304.46,659,0,11,49.0,0
CUST-00303,53,59,1,1,0,13038.71,28709.97,526,1,11,94.6,1
CUST-00304,59,36,1,1,1,17998.84,8391.71,594,0,12,33.4,0
CUST-00305,41,54,3,1,1,9766.57,0.0,672,0,18,65.2,1
CUST-00306,60,53,2,0,1,1500.0,35952.11,663,0,15,89.5,1
CUST-00307,39,32,2,1,0,12631.41,566.48,724,1,17,54.7,0
CUST-00308,19,57,3,1,1,6695.83,14365.17,650,0,10,86.8,1
CUST-00309,32,49,1,0,0,10070.62,7024.29,616,0,13,54.6,0
CUST-00310,27,61,2,1,0,1500.0,11952.29,713,0,2,49.2,0
CUST-00311,37,50,3,1,1,9622.93,0.0,702,0,17,64.8,1
CUST-00312,48,49,1,1,0,3435.27,29066.53,759,0,15,58.4,1
CUST-00313,29,1,2,1,1,18351.09,16502.8,667,1,9,61.0,1
CUST-00314,39,120,1,1,1,2843.8,2401.96,633,1,21,68.3,0
CUST-00315,42,71,2,1,1,10941.39,17193.84,632,0,18,56.6,0
CUST-00316,31,63,1,1,0,11209.18,16267.38,551,2,20,45.8,1
CUST-00317,29,102,1,0,0,8788.47,8868.96,749,0,2,54.3,0
CUST-00318,41,80,1,1,1,8892.67,4922.38,594,1,8,65.4,0
CUST-00319,50,64,2,1,1,10653.1,14215.52,850,1,23,12.9,0
CUST-00320,33,70,1,1,0,12293.81,0.0,620,0,12,32.2,0
CUST-00321,31,100,1,1,1,16195.47,4848.42,647,0,4,48.0,0
CUST-00322,38,58,1,1,0,13681.2,14540.05,748,0,8,59.2,1
CUST-00323,43,10,1,1,1,6451.13,18186.45,812,1,1,54.9,0
CUST-00324,33,5,2,1,0,9409.51,13215.14,688,0,12,16.8,1
CUST-00325,36,91,3,0,0,13338.83,26875.21,688,0,8,52.1,0
CUST-00326,37,44,2,1,0,4978.08,29625.21,671,0,3,84.8,0
CUST-00327,27,66,3,0,0,7174.74,12052.51,703,1,6,83.3,1
CUST-00328,38,47,1,1,1,11558.54,17618.13,597,0,13,53.3,0
CUST-00329,33,63,2,1,0,16958.64,13330.54,554,0,18,54.5,0
CUST-00330,59,25,4,1,1,11897.48,81.47,616,0,14,39.3,0
CUST-00331,34,64,4,0,1,1551.76,10945.33,679,0,15,60.8,0
CUST-00332,45,1,1,0,1,3891.38,0.0,576,1,10,36.0,1
CUST-00333,45,42,1,1,0,12688.28,18861.67,629,0,9,29.0,1
CUST-00334,27,9,1,1,1,3281.29,34124.46,738,0,12,58.8,0
CUST-00335,25,50,1,1,1,8901.81,22028.16,623,0,14,20.2,0
CUST-00336,35,53,4,1,1,1500.0,13260.89,628,1,18,31.2,0
CUST-00337,48,45,1,0,0,9017.37,0.0,625,0,13,50.6,0
CUST-00338,33,54,2,0,1,2483.4,24188.71,657,0,11,78.6,0
CUST-00339,32,1,4,1,1,12168.47,0.0,540,0,8,75.0,0
CUST-00340,18,17,4,0,0,5959.83,20293.75,636,0,11,66.5,0
CUST-00341,35,43,2,1,1,9457.29,13159.32,583,0,9,79.9,0
CUST-00342,44,61,1,1,0,18959.73,5139.56,581,0,11,27.7,0
CUST-00343,45,57,2,1,1,16195.72,14574.3,518,1,7,77.7,0
CUST-00344,45,1,1,0,0,6420.15,14323.81,687,0,8,28.2,1
CUST-00345,36,88,1,1,0,12101.74,12327.03,564,0,11,78.8,0
CUST-00346,37,46,2,1,1,14326.33,5317.03,627,0,11,60.3,0
CUST-00347,50,97,1,1,1,9739.95,16947.96,769,0,11,54.4,0
CUST-00348,38,69,1,1,0,5491.22,0.0,651,1,22,50.5,0
CUST-00349,18,84,3,1,1,8554.03,25392.7,730,0,9,63.2,0
CUST-00350,52,65,1,1,1,13647.3,9010.61,604,0,16,56.1,1
CUST-00351,27,35,2,1,1,12881.36,12669.62,652,0,15,64.5,0
CUST-00352,57,41,1,1,0,9391.32,0.0,670,0,18,58.0,0
CUST-00353,60,75,2,1,1,11401.76,18531.82,678,3,12,55.2,1
CUST-00354,49,38,1,1,1,15505.48,10515.91,660,0,4,74.3,0
CUST-00355,51,1,2,0,1,1500.0,34865.13,641,0,18,31.9,1
